1/6/2017, 17:06:50: The server is running on port 3000
1/6/2017, 17:24:01: The server is running on port 3000
1/6/2017, 17:24:07: Error: EPERM: operation not permitted, scandir 'C:\Users\Kyle\Application Data'
1/6/2017, 17:24:07: Error: EPERM: operation not permitted, scandir 'C:\Users\Kyle\Cookies'
1/6/2017, 17:24:07: Error: EPERM: operation not permitted, scandir 'C:\Users\Kyle\Local Settings'
1/6/2017, 17:24:07: Error: EPERM: operation not permitted, scandir 'C:\Users\Kyle\My Documents'
1/6/2017, 17:24:07: Error: EPERM: operation not permitted, scandir 'C:\Users\Kyle\NetHood'
1/6/2017, 17:24:07: Error: EPERM: operation not permitted, scandir 'C:\Users\Kyle\PrintHood'
1/6/2017, 17:24:07: Error: EPERM: operation not permitted, scandir 'C:\Users\Kyle\Recent'
1/6/2017, 17:24:07: Error: EPERM: operation not permitted, scandir 'C:\Users\Kyle\SendTo'
1/6/2017, 17:24:07: Error: EPERM: operation not permitted, scandir 'C:\Users\Kyle\Start Menu'
1/6/2017, 17:24:07: Error: EPERM: operation not permitted, scandir 'C:\Users\Kyle\Templates'
1/6/2017, 17:25:56: Error: EPERM: operation not permitted, scandir 'C:\Users\Kyle\Application Data'
1/6/2017, 17:25:56: Error: EPERM: operation not permitted, scandir 'C:\Users\Kyle\Cookies'
1/6/2017, 17:25:56: Error: EPERM: operation not permitted, scandir 'C:\Users\Kyle\Local Settings'
1/6/2017, 17:25:56: Error: EPERM: operation not permitted, scandir 'C:\Users\Kyle\My Documents'
1/6/2017, 17:25:56: Error: EPERM: operation not permitted, scandir 'C:\Users\Kyle\NetHood'
1/6/2017, 17:25:57: Error: EPERM: operation not permitted, scandir 'C:\Users\Kyle\PrintHood'
1/6/2017, 17:25:57: Error: EPERM: operation not permitted, scandir 'C:\Users\Kyle\Recent'
1/6/2017, 17:25:57: Error: EPERM: operation not permitted, scandir 'C:\Users\Kyle\SendTo'
1/6/2017, 17:25:57: Error: EPERM: operation not permitted, scandir 'C:\Users\Kyle\Start Menu'
1/6/2017, 17:25:57: Error: EPERM: operation not permitted, scandir 'C:\Users\Kyle\Templates'
1/6/2017, 17:26:13: Error: EPERM: operation not permitted, scandir 'C:\Users\Kyle\Application Data'
1/6/2017, 17:26:13: Error: EPERM: operation not permitted, scandir 'C:\Users\Kyle\Cookies'
1/6/2017, 17:26:13: Error: EPERM: operation not permitted, scandir 'C:\Users\Kyle\Local Settings'
1/6/2017, 17:26:13: Error: EPERM: operation not permitted, scandir 'C:\Users\Kyle\My Documents'
1/6/2017, 17:26:13: Error: EPERM: operation not permitted, scandir 'C:\Users\Kyle\NetHood'
1/6/2017, 17:26:13: Error: EPERM: operation not permitted, scandir 'C:\Users\Kyle\PrintHood'
1/6/2017, 17:26:14: Error: EPERM: operation not permitted, scandir 'C:\Users\Kyle\Recent'
1/6/2017, 17:26:14: Error: EPERM: operation not permitted, scandir 'C:\Users\Kyle\SendTo'
1/6/2017, 17:26:14: Error: EPERM: operation not permitted, scandir 'C:\Users\Kyle\Start Menu'
1/6/2017, 17:26:14: Error: EPERM: operation not permitted, scandir 'C:\Users\Kyle\Templates'
1/17/2017, 17:56:08: The server is running on port 3000
1/17/2017, 20:47:52: The server is running on port 3000
